title,text,category
Remedies.,"10. 
Remedies. 
 
Recipient agrees that its obligations hereunder are necessary and reasonable in order to protect Sanmina and 
Sanmina’s business, and expressly agrees that monetary damages will be inadequate to compensate Sanmina for any 
breach by either party of any covenants and agreements set forth herein. Accordingly, Recipient agrees and 
acknowledges that any such violation or threatened violation will cause irreparable injury to Sanmina and that, in 
addition to any other remedies that may be available, in law, in equity or otherwise, Sanmina will be entitled to seek 
injunctive relief against the threatened breach of this Agreement or the continuation of any such breach, without the 
necessity of proving actual damages and without the necessity of posting bond.",Indemnity
Entire Agreement.,"12. 
Entire Agreement. 
 
This document contains the complete and exclusive Agreement between the parties, and it is intended to be 
final expression of their agreement.  No promise, representation, warranty or covenant not included in this document 
has been or is relied upon by any party.  Each party has relied upon its own examination of the warranties, 
representations and covenants expressly contained in the Agreement itself.  No modification or amendment of this 
Agreement shall be of any force unless in writing executed by all parties hereto.",Miscellaneous
Notices.,"13. 
Notices. 
 
Wherever one party is required or permitted or required to give written notice to the other under this 
Agreement, such notice will be given by hand, by certified U.S. mail, return receipt requested, by overnight courier, 
or by fax and addressed to the appropriate officer of such party (with a copy to the Legal Department) at the address 
set forth in the preamble.  All such notices shall be effective upon receipt.  Either party may designate a different 
notice address from time to time upon giving five (5) days’ prior written notice thereof to the other party.",Miscellaneous
Assignment.,"14. 
Assignment. 
 
 
Neither this Agreement nor any rights or obligations hereunder shall be transferred or assigned by either 
party without the written consent of the other party, which consent shall not be unreasonably withheld or delayed.   
 
 
 
Sanmina Corporation 
 
 
 
__________________________________  
 
 
By:______________________________ 
 
By:_______________________________ 
 
Printed Name:______________________ 
 
Printed Name:______________________ 
 
Title:_____________________________ 
 
Title:_____________________________ 
 
 
Date:_____________________________ 
 
Date:_____________________________",Miscellaneous
"Labor (staff name, hours charged, hourly billing rate, current charges and cumulative","1. 
Labor (staff name, hours charged, hourly billing rate, current charges and cumulative 
charges) performed during the billing period by task;",Payment
Itemized expenses incurred during the billing period;,"2. 
Itemized expenses incurred during the billing period;",Payment
Total invoice/payment requested;,"3. 
Total invoice/payment requested;",Payment
Total amount previously paid under this Agreement;,"4. 
Total amount previously paid under this Agreement;",Payment
TERM. This Agreement shall take effect on (DATE); contingent upon prior approval by the,"3. 
TERM. This Agreement shall take effect on (DATE); contingent upon prior approval by the 
COMMISSION governing board, and the CONSULTANT shall commence work after notification to 
proceed by the COMMISSION’S Contract Manager. The Agreement shall end on (DATE), unless earlier 
terminated or extended by contract amendment. The CONSULTANT is advised that this Agreement is not 
binding and enforceable until it is fully executed and approved by the COMMISSION's board.",Termination
EARLY TERMINATION.,"4. 
EARLY TERMINATION.  
A. COMMISSION may terminate this Agreement for its convenience any time, in whole or part, by giving 
CONSULTANT thirty-day (30-day) written notice thereof.  Within thirty days of the COMMISSION's 
receipt of CONSULTANT's final billing, COMMISSION shall pay CONSULTANT its allowable costs 
incurred to date of termination and those allowable costs determined by COMMISSION to be 
reasonably necessary to effect such termination.  Thereafter, CONSULTANT shall have no further 
claims against COMMISSION under this Agreement. 
 
B. COMMISSION may terminate this Agreement for CONSULTANT's default if a federal or state 
proceeding for the relief of debtors is undertaken by or against CONSULTANT, or CONSULTANT's 
 
Page 3 
principal, or if CONSULTANT or CONSULTANT's principal makes an assignment for the benefit of 
creditors, or if CONSULTANT breaches any term(s) or violates any provision(s) of this Agreement and 
does not cure such breach or violation within ten (10) days after written notice thereof by 
COMMISSION.  CONSULTANT shall be liable for any and all reasonable costs incurred by 
COMMISSION as a result of such default, including but not limited to reprocurement costs of the same 
or similar services defaulted by CONSULTANT under this Agreement. 
 
C. CONSULTANT may terminate this Agreement by giving the COMMISSION at least one hundred and 
twenty (120) days advance written notice.  CONSULTANT shall be liable for any and all reasonable 
costs incurred by COMMISSION as a result of such default, including but not limited to reprocurement 
costs of the same or similar services defaulted or not provided by CONSULTANT under this 
Agreement. 
 
5. INDEMNIFICATION FOR DAMAGES, TAXES AND CONTRIBUTIONS. 
CONSULTANT shall exonerate, indemnify, defend, and hold harmless the COMMISSION (which for the 
purpose of this Agreement shall include, without limitation, its officers, agents, employees and volunteers) 
from and against: 
A. Any and all claims, demands, losses, damages, defense costs, or liability of any kind or nature which 
COMMISSION may sustain or incur or which may be imposed upon it for injury to or death of persons, 
or damage to property which arise out of, pertain to, or relate to CONSULTANT’S negligence, 
recklessness, or willful misconduct under the terms of this Agreement. Such indemnification includes 
any damage to the person(s), or property(ies) of CONSULTANT and third persons. 
 
B. Any and all Federal, State and Local taxes, charges, fees, or contributions required to be paid with 
respect to CONSULTANT and CONSULTANT’S officers, employees and agents engaged in the 
performance of this Agreement (including, without limitation, unemployment insurance, social security 
and payroll tax withholding). 
 
6. INSURANCE. CONSULTANT, at its sole cost and expense, for the full term of this Agreement, and any 
extensions thereof, shall obtain and maintain at minimum compliance with all of the following insurance 
coverage(s) and requirements.  Such insurance coverage shall be primary coverage as respects 
COMMISSION and any insurance or self-insurance maintained by COMMISSION shall be excess of 
CONSULTANT’S insurance coverage and shall not contribute to it. 
 
If CONSULTANT utilizes one or more subconsultants in the performance of this Agreement, 
CONSULTANT shall obtain and maintain Independent CONSULTANT’s Insurance as to each subconsultant 
or otherwise provide evidence of insurance coverage from each subconsultant equivalent to that required of 
CONSULTANT in this Agreement. 
 
A. Types of Insurance and Minimum Limits 
 
1) Workers’ Compensation in the minimum statutorily required coverage amounts.  This insurance 
coverage shall not be required if the CONSULTANT has no employees and certifies to this fact by 
initialing here                . 
 
2) Automobile Liability Insurance for each of CONSULTANT’S vehicles used in the performance of 
this Agreement, including owned, non-owned (e.g. owned by CONSULTANT’S employees), leased 
or hired vehicles, in the minimum amount of $1,000,000 combined single limit per occurrence for 
bodily injury and property damage.  This insurance coverage shall not be required if vehicle use by 
the CONSULTANT is not a material part of performance of this Agreement and CONSULTANT and 
COMMISSION both certify to this fact by initialing here           /        . 
 
 
Page 4 
3) Comprehensive or Commercial General Liability Insurance coverage in the minimum amount of one 
million dollars ($1,000,000) combined single limit (CSL), including coverage for: (a) bodily injury, 
(b) personal injury, (c) broad form property damage, (d) contractual liability, and (e) cross-liability. 
 
4) Professional Liability Insurance in the minimum amount of one million dollars ($1,000,000)               
combined single limit, if, and only if, this Subparagraph is initialed by CONSULTANT and 
COMMISSION __   /        . 
 
B. Other Insurance Provisions 
1) If any insurance coverage required in this Agreement is provided on a “Claims Made” rather than 
“Occurrence” form, CONSULTANT agrees to maintain the required coverage for a period of three 
(3) years after the expiration of this Agreement (hereinafter “post agreement coverage”) and any 
extensions thereof.  CONSULTANT may maintain the required post agreement coverage by renewal 
or purchase of prior acts or tail coverage.  This provision is contingent upon post agreement coverage 
being both available and reasonably affordable in relation to the coverage provided during the term of 
this Agreement.  For purposes of interpreting this requirement, a cost not exceeding 100% of the last 
annual policy premium during the term of this Agreement in order to purchase prior acts or tail 
coverage for post agreement coverage shall be deemed to be reasonable. The COMMISSION will not 
be responsible for any premiums or assessments on the policy. 
 
2) All required Automobile and Comprehensive or Commercial General Liability Insurance shall be 
endorsed to contain the following clause: 
 
“Santa Cruz County Regional Transportation Commission, its officials, employees, agents and 
volunteers are added as an additional insured as respects the operations and activities of, or on behalf 
of, the named insured performed under Agreement with the Commission.” 
 
3) All required insurance policies shall be endorsed to contain the following clause: 
“This insurance shall not be canceled until after thirty (30) days prior written notice has been given 
to:  
 
 
Santa Cruz County Regional Transportation Commission 
 
 
 
Attn: Yesenia Parra 
 
 
 
1523 Pacific Avenue 
Santa Cruz, CA 95060 
 
4) CONSULTANT agrees to provide its insurance broker(s) with a full copy of these insurance 
provisions and provide COMMISSION on or before the effective date of this Agreement with 
Certificates of Insurance for all required coverages.  All Certificates of Insurance shall be delivered or 
sent to: 
 
 
 
Santa Cruz County Regional Transportation Commission 
 
 
 
Attn: Yesenia Parra 
 
 
 
1523 Pacific Avenue         
 
 
 
Santa Cruz, CA 95060 
 
 
 
5) The CONSULTANT agrees that the insurance herein provided for, shall be in effect at all times 
during the term of this contract. In the event said insurance coverage expires at any time or times 
during the term of this contract, the CONSULTANT agrees to provide at least thirty (30) days prior 
notice to said expiration date; and a new Certificate of Insurance evidencing insurance coverage as 
provided for herein, for not less than either the remainder of the term of the contract, or for a period 
of not less than one (1) year. New Certificates of Insurance are subject to the approval of the 
COMMISSION.  In the event the CONSULTANT fails to keep in effect at all times insurance 
 
Page 5 
coverage as herein provided, the COMMISSION may, in addition to any other remedies it may have, 
terminate this Agreement  upon occurrence of such event. 
 
6) If any insurance policy of CONSULTANT required by this document includes language 
conditioning the insurer’s legal obligation to defend or indemnify COMMISSION on the 
performance of any act(s) by the named insured, then said insurance policy, by endorsement, 
shall also name the COMMISSION as a named insured. Notwithstanding the foregoing, both 
the CONSULTANT and its insurers agree that by naming the COMMISSION as a named 
insured, the COMMISSION may at its sole direction, but is not obligated to, perform any act 
required by the named insured under said insurance policies. 
 
7) CONSULTANT shall do all things required to be performed by it pursuant to its insurance policies 
including but not limited to paying within five (5) work days, all deductibles and self-insured 
retentions (SIR) required to be paid under any insurance policy that may provide defense or 
indemnity coverage to COMMISSION or any additional insured. 
 
8) CONSULTANT shall cause the foregoing provisions to be inserted in all subcontracts for any work 
covered under this Agreement by a subconsultant compensated more than $50,000 and employing 
more than fifteen (15) employees, provided that the foregoing provisions shall not apply to contracts 
or subcontracts for standard commercial supplies or raw materials. 
 
7. FEDERAL, STATE AND LOCAL LAWS. CONSULTANT warrants that in the performance of this 
Agreement, it shall exercise usual and customary professional care in its efforts to comply with all applicable 
federal, state and local laws, statutes and ordinances and all lawful orders, rules and regulations promulgated 
thereunder.  In the event of a conflict between the laws and lawful regulations of any government entities 
having jurisdiction over the project, the CONSULTANT shall notify COMMISSION of the nature and 
impact of such conflict.  The COMMISSION agrees to cooperate and work with the CONSULTANT in an 
effort to resolve any conflict. 
 
8. EQUAL EMPLOYMENT OPPORTUNITY. During and in relation to the performance of this Agreement, 
CONSULTANT agrees to the following: 
 
The CONSULTANT shall not discriminate or permit discrimination against any employee or applicant for 
employment in any manner prohibited by Federal, State and local laws, including but not limited to race, 
color, gender, religion, national origin, ancestry, physical or mental disability, medical condition, marital 
status, sexual orientation, age (over 18), veteran status, pregnancy, or any other non-merit factor unrelated to 
job duties.  
 
Such action shall include, but not be limited to, the following: recruitment; advertising, layoff or termination; 
rates of pay or other forms of compensation; and selection for training (including apprenticeship), 
employment, upgrading, demotion, or transfer. The CONSULTANT agrees to post in conspicuous places, 
available to employees and applicants for employment, notice setting forth the provisions of this non-
discrimination clause.  
 
CONSULTANT shall comply fully with all federal, State and local laws and regulations which prohibit 
discrimination.  The CONSULTANT’s signature affixed herein, and dated, shall constitute a certification 
under penalty of perjury under the laws of the State of California that the CONSULTANT has, unless 
exempt, complied with, the nondiscrimination program requirements of Government Code Section 12990 and 
Title 2, California Administrative Code, Section 8103.   
 
 
Page 6 
In the event of CONSULTANT’S non-compliance with the non-discrimination clauses of this Agreement or 
with any of the said rules, regulations or orders the COMMISSION may cancel, terminate or suspend the 
Agreement in whole or in part. CONSULTANT may also be declared ineligible for further agreements with 
the COMMISSION. 
 
9. HARASSMENT.  The COMMISSION maintains a strict policy prohibiting unlawful harassment, including 
sexual harassment, in any form, including verbal, physical and visual harassment by any employee, 
supervisor, manager, officer or Board member, or agent of the employer. Vendors, CONSULTANTs, and 
consultants shall not engage in conduct that has an effect of unreasonably interfering with a COMMISSION 
employee's work performance or creates an intimidating, hostile or offensive work environment. 
 
10. LICENSES. If a license of any kind is required of CONSULTANT, its employees, agents, or sub 
CONSULTANTs by Federal or State law, CONSULTANT warrants that such license has been obtained, is 
valid and in good standing, that CONSULTANT shall keep it in effect at all times during the terms of this 
Agreement, and that any applicable bond has been posted in accordance with all applicable laws and 
regulations. 
 
11. INDEPENDENT CONSULTANT STATUS. CONSULTANT and COMMISSION have reviewed and 
considered the principal test and secondary factors herein and agree that CONSULTANT is an independent 
CONSULTANT and not an employee of COMMISSION. CONSULTANT is responsible for all insurance 
(workers compensation, unemployment, etc.) and all payroll related taxes.  CONSULTANT is not entitled to 
any employee benefits.  COMMISSION agrees that CONSULTANT shall have the right to control the 
manner and means of accomplishing the result contracted for herein. 
 
 
PRINCIPAL TEST: The CONSULTANT rather than COMMISSION has the right to control the manner and 
means of accomplishing the result contracted for. 
 
SECONDARY FACTORS: (a) The extent of control which, by agreement, COMMISSION may exercise 
over the details of the work is slight rather than substantial; (b) CONSULTANT is engaged in a distinct 
occupation or business; (c) In the locality, the work to be done by CONSULTANT is usually done by a 
specialist without supervision, rather than under the direction of an employer; (d) The skill required in the 
particular occupation is substantial rather than slight; (e) The CONSULTANT rather than the COMMISSION 
supplies the instrumentalities, tools and work place; (f) The length of time for which CONSULTANT is 
engaged is of limited duration rather than indefinite; (g) The method of payment of CONSULTANT is by the 
job rather than by the time; (h) The work is part of a special or permissive activity, program, or project, rather 
than part of the regular business of COMMISSION; (i) CONSULTANT and COMMISSION believe they are 
creating an independent CONSULTANT relationship rather than an employer-employee relationship; and (j) 
The COMMISSION conducts public business. 
 
It is recognized that it is not necessary that all secondary factors support creation of an independent 
CONSULTANT relationship, but rather that overall there are significant secondary factors which indicate 
that CONSULTANT is an independent CONSULTANT. 
 
By their signatures to this Agreement, each of the undersigned certifies that it is his or her considered 
judgment that the CONSULTANT engaged under this Agreement is in fact an independent CONSULTANT. 
 
12. RETENTION AND AUDIT OF RECORDS. For the purpose of determining compliance with Public 
Contract Code 10115, et seq. and Title 21, California Code of Regulations, Chapter 21, Section 2500 et seq., 
if applicable and other matters connected with the performance of the contract pursuant to Government Code 
8546.7: CONSULTANT, subconsultants, and the COMMISSION shall maintain all books, documents, 
papers, accounting records, and other evidence pertaining to the performance of the contract, including but 
 
Page 7 
not limited to, the costs of administering the Agreement.  All parties shall make such materials available at 
their respective offices at all reasonable times during the Agreement  period and for five (5) years from the 
date of final payment under this Agreement or until a final audit report is accepted by COMMISSION, 
whichever occurs first.  The COMMISSION and any state or federal auditor, or any duly authorized 
representative of the state or federal government shall have access to any books, records, and documents of 
the CONSULTANT that are pertinent to the Agreement  for audit, examinations, excerpts, and transactions, 
and copies thereof shall be furnished if requested.  
 
Subcontracts in excess of $25,000 shall contain this provision. 
 
13. INSPECTION OF WORK 
 The CONSULTANT and any subconsultant shall permit the COMMISSION, the state, and the FHWA if 
federal participating funds are used in this contract, to review and inspect the project activities and files at all 
reasonable times during the term of this Agreement including review and inspection on a daily basis.  
 
14. ACKNOWLEDGMENT. CONSULTANT shall acknowledge in all reports and literature that the material is 
prepared for and on behalf of the COMMISSION. 
 
15. WORK PRODUCTS. All material, data, information, and written, graphic or other work produced under 
this Agreement is subject to the unqualified and unconditional right of the COMMISSION to use, reproduce, 
publish, display, and make derivative use of all such work, or any part of it, free of charge and in any manner 
and for any purpose; and to authorize others to do so.  If any of the work is subject to copyright, trademark, 
service mark, or patent, CONSULTANT now grants to the COMMISSION a perpetual, royalty-free, 
nonexclusive and irrevocable license to use, reproduce, publish, use in the creation of derivative works, and 
display and perform the work, or any part of it, and to grant to any third party a comparable and coextensive 
sublicense. 
  
CONSULTANT shall include in any subcontract with a third party for work under this Agreement terms that 
preserve the rights, interests, and obligations created by this Section, and that identify the COMMISSION as 
a third-party beneficiary of those provisions. 
 
The CONSULTANT shall not utilize the work produced under this Agreement for any profit-making venture, 
or sell or grant rights to a third party for that purpose. 
 
A. Upon completion of all work under this contract, ownership and title to all custom letters, reports, 
documents, plans, specifications, and estimates and other products produced as part of this Agreement 
(herein ""deliverables"") will automatically be vested in the COMMISSION; and no further agreement will 
be necessary to transfer ownership to the COMMISSION.  The CONSULTANT shall furnish the 
COMMISSION all necessary copies of data needed to complete the review and approval process. Copies 
may be made for CONSULTANT's records but shall not be furnished to others without the 
COMMISSION's prior written authorization.  Such deliverables shall be deemed works made for hire and 
all rights in copyright therein shall be retained by COMMISSION. All information derived from these 
deliverables is deemed confidential and may not be disclosed to any other party without the express prior 
written consent of COMMISSION.  No information obtained during audit work performed under this 
Agreement may be used by CONSULTANT for any purpose (internal or external), nor may the 
information be discussed with others without the prior written consent of COMMISSION. 
 
B. Any subcontract in excess of $25,000 entered into as a result of this contract, shall contain all of the 
provisions of this Section. 
 
 
 
Page 8 
16. SAFETY 
A. The CONSULTANT shall comply with OSHA regulations applicable to CONSULTANT regarding 
necessary safety equipment or procedures.  The CONSULTANT shall comply with safety instructions 
issued by the COMMISSION Safety Officer and other COMMISSION representatives. CONSULTANT 
personnel shall wear hard hats and safety vests at all times while working on the Santa Cruz Branch Rail 
Line. 
 
B. Areas within the limits of the project are open to public and private traffic. The CONSULTANT shall 
comply with all of the requirements set forth in Divisions 11, 12, 13, 14, and 15 of the Vehicle Code.  The 
CONSULTANT shall take all reasonably necessary precautions for safe operation of its vehicles and the 
protection of the traveling public from injury and damage from such vehicles. 
 
C. Any subcontract entered into as a result of this contract, shall contain all of the provisions of this Section. 
 
17. MODIFICATION OF AGREEMENT.  
A. This Agreement may be amended or modified only by mutual written agreement of the parties. 
B. The CONSULTANT shall only commence work covered by an amendment after the amendment is 
executed and notification to proceed has been provided by the COMMISSION’s Contract Manager. 
C. There shall be no change in the CONSULTANT’s Project Manager or members of the project team, as 
listed in the approved Fee Schedule, which is a part of this Agreement without prior written approval by 
the COMMISSION’s Contract Manager. 
D. No oral understanding or agreement not incorporated herein shall be binding on the parties. 
 
18. DISPUTES. This Agreement shall be construed under the laws of the State of California.  Pending final 
resolution of a dispute hereunder, CONSULTANT shall proceed diligently with the performance of this 
Agreement and shall comply with COMMISSION’s instructions. 
A. Any dispute, other than audit, concerning a question of fact arising under this Agreement that is not 
disposed of by agreement shall be decided by a committee consisting of the COMMISSION’s Contract 
Manager and Executive Director, who shall consider written or verbal information submitted by the 
CONSULTANT. 
B. Not later than 30 days after completion of all deliverables necessary to complete the plans, specifications 
and estimate, the CONSULTANT may request review by the COMMISSION GOVERNING BOARD of 
unresolved claims or disputes, other than audit. The request for review must be submitted in writing. 
C. Neither the pendency of a dispute, nor its consideration by the committee will excuse the CONSULTANT 
from full and timely performance in accordance with the terms of this contract. 
 
19. AUDIT REVIEW PROCEDURES 
A. Any dispute concerning a question of fact arising under an interim or post-completion audit of this 
Agreement that is not disposed of by agreement, shall be reviewed by the COMMISSION’S Contract 
Manager. 
B. Not later than 30 days after issuance of the final audit report, the CONSULTANT may request a review 
by the COMMISSION’S Executive Director of unresolved audit issues. The request for review will be 
submitted in writing. 
C. Neither the pendency of a dispute nor its consideration by the COMMISSION will excuse the 
CONSULTANT from full and timely performance, in accordance with the terms of this contract. 
 
20. SUBCONTRACTING 
A. The CONSULTANT shall perform the work contemplated with resources available within its own 
organization; and no portion of the work pertinent to this Agreement shall be subcontracted without prior 
written authorization by the COMMISSION’S Contract Manager, except that, which is expressly 
identified in the approved Fee Schedule.  
 
Page 9 
B. Any subcontract in excess of $25,000 entered into as a result of this contract, shall contain all the 
provisions required by this Agreement to be applicable to those subconsultants. 
C. No substitution of subconsultants shall be valid until approved in writing by the COMMISSION’s 
Contract Manager. 
 
21. NONASSIGNMENT. The CONSULTANT shall not assign the Agreement without the prior written consent 
of the COMMISSION. 
 
22. REBATES, KICKBACKS OR OTHER UNLAWFUL CONSIDERATION. The CONSULTANT 
warrants that this Agreement was not obtained or secured through rebates kickbacks or other unlawful 
consideration, either promised or paid to any COMMISSION employee.  For breach or violation of this 
warranty, COMMISSION shall have the right in its discretion to terminate the Agreement without liability; to 
pay only for the value of the work actually performed; or to deduct from the contract price; or otherwise 
recover the full amount of such rebate, kickback or other unlawful consideration. 
 
23. NOTIFICATION. All notices hereunder and communications regarding interpretation of the terms of this 
Agreement and changes thereto, shall be effected by the mailing thereof by registered or certified mail, return 
receipt requested, postage prepaid, and addressed as follows: 
 
CONSULTANT: 
 
 
__________(CONSULTANT)_______________ 
 
 
__________(NAME)________, Project Manager 
 
 
__________(ADDRESS)____________________ 
 
 
 
 
COMMISSION: 
 
 
Santa Cruz County Regional Transportation Commission (SCCRTC)  
 
 
Luis Mendez, Contract Manager 
 
 
1523 Pacific Ave, Santa Cruz, CA 95060 
 
24. COMPLETE AGREEMENT 
A. AGREEMENT: The two parties to this Agreement, who are the before named CONSULTANT and the 
before named COMMISSION, hereby agree that this Agreement constitutes the entire Agreement which 
is made and concluded in duplicate between the two parties. Both of these parties for and in consideration 
of the payments to made, conditions mentioned, and work to be performed; each agree to diligently 
perform in accordance with the terms and conditions of this Agreement as evidenced by the signatures 
below.  
 
B. COMMISSION DESIGNEE: The Executive Director of COMMISSION, or his or her designee, shall 
have the authority to act for and exercise any of the rights of COMMISSION as set forth in this 
Agreement subsequent to, and in accordance with the authorization granted by the COMMISSION.  
 
C. COMPLETE AGREEMENT, INCLUDING ATTACHMENTS. This Agreement includes all exhibits, 
attachments, and documents incorporated herein and made applicable by reference, constitutes the 
complete and exclusive statement of the terms and conditions of the Agreement between COMMISSION 
and CONSULTANT, and supersedes all prior representations, understandings and communications.  The 
invalidity in whole or in part of any term or condition of this Agreement shall not affect the validity of 
other terms or conditions. The COMMISSION’s waiver of CONSULTANT's performance of any term(s) 
or condition(s) of this Agreement shall not be construed as a waiver for any future performance of such 
term(s) or conditions(s 
 
D. Attachments are: 
 
Exhibit A: Scope of Services 
 
Page 10 
 
Exhibit B: Fee Schedule 
 
Each of the undersigned represents and warrants that he or she is duly authorized to execute and deliver this 
Agreement and that such execution is binding upon the entity for which he or she is executing this document. 
 
IN WITNESS WHEREOF, the parties hereto have caused this Agreement No. _______ to be executed on the date 
first written above. 
 
1.  CONSULTANT 
 
 
 
2.  SANTA CRUZ COUNTY REGIONAL 
 
 
 
      
 
 
 
TRANSPORTATION COMMISSION 
 
      
 
 
 
By: _______________________________   
By: 
_____________________________                                                     
       SIGNED 
 
 
 
 
 
              SIGNED   
      _________________________________        
______________________________ 
       PRINTED  
 
 
 
 
              PRINTED 
 
Company Name:  _____________ 
Address:             ______________ 
Telephone:(         ) __________ 
Fax: (         )  __________ 
Email:  ________________________ 
 
3. APPROVED AS TO INSURANCE: 
4. APPROVED AS TO FORM: 
 
 
_________________________   
 
_________________________                                                         
Administrative Services Officer  
      
 COMMISSION Counsel 
 
DISTRIBUTION:        
 
 RTC Fiscal & Contract Manager 
 
CONSULTANT 
 
\\Rtcserv2\shared\CONTRACT\MASTERCO\Template\MasterContracts.doc",Termination
"Duties, Obligations and Powers of the Employee","2. 
Duties, Obligations and Powers of the Employee 
2.1 
The Employee shall fulfil such general duties and responsibilities as are consistent with 
such position and as may reasonably be assigned to him from time to time by the 
Board2. 
2.2 
The Employee shall, during the Term:  
2.2.1 
abide by the rules and regulations of the Company as are in force; 
2.2.2 
subject to clause 2.2.1, do all such acts and deeds which are required to be 
performed in capacity of employee of the Company and abide by all the laws 
as are in force, necessary for carrying out the Business in India and as may be 
reasonably assigned to him by the Board from time to time;  
2.2.3 
keep the Board informed about decisions and actions taken by him on a 
quarterly basis.  
2.2.4 
use all reasonable endeavours to promote the interests of the Company and 
furtherance of the Business of the Company and devote a reasonable period of 
his working time to the best of his ability as is reasonably required for 
discharging the duties and responsibilities as a director of the Company. 
2.2.5 
devote full time, attention and energies to the Business of the Company and 
shall not engage in any other business. 
2.2.6 
at all times while performing services for the Company, devote his reasonable 
best efforts, skill and ability and shall perform his responsibilities as an 
executive of the Company in a competent and professional manner.  
2.2.7 
be primarily responsible (without any limitation) for such operations and 
activities of the Company, details of which are referred under Schedule I to 
this Agreement. 
2.3 
The Employee agrees that he shall not participate in any activity that constitutes an 
actual or has a substantial likelihood of being in conflict of interest with his 
employment with the Company or with the Business of the Company. 
2.4 
The Employee agrees to abide by the rules, regulations, instructions, personnel 
policies and the policies of the Company and any change thereof which may be 
adopted by the Company from time to time. 
2.5 
The Employee shall not, during the Term:  
                                                 
2 Can be replaced by Supervisory Authority 
[NAME OF COMPANY] 
[EMPLOYEE] 
 
 
 
 
 
4 
2.5.1 
do anything contrary to the rules, regulations, instructions, personnel policies 
and the policies of the Company; 
2.5.2 
sign and execute any papers, documents, filings, returns, applications, 
writings, reports on behalf of the Company if it is not in accordance with the 
provisions of the Memorandum of Association, Articles of Association of the 
Company;  
2.5.3 
do anything which may, bring the Company into disrepute or harm its goodwill 
or reputation; 
2.5.4 
carry on or engage in, directly or indirectly, whether through partnership or as 
joint venture partner, collaborator or agent or in any other manner, any 
business that competes with the Business in any manner whatsoever, during 
the continuance of this Agreement except with the prior written approval of 
the Board, and for a period of 1 (one) year from the date of termination of this 
Agreement;  
2.5.5 
disclose to any Person any Confidential Information which may come to his 
knowledge while discharging his duties as an Employee in the Company 
(except where such disclosure is properly authorised by the Board) or use or 
attempt to use any Confidential Information in any manner which is not in the 
proper performance of his services or which may or is likely to injure or cause 
loss directly or indirectly to the Company or its Business;  
2.5.6 
solicit or endeavour to entice away from or discourage from dealing with the 
Company, either directly or indirectly, any Person who is or has at any time 
during the Term, been a vendor, supplier, service provider, contractor, 
customer, client, or employee of the Company during the continuance of this 
Agreement and for a period of 1 (one) year from the date of termination of 
this Agreement.  
2.6 
The Employee further acknowledges that each of the restrictions contained above in 
Clause 2 is separate and is to be construed separately and that he understands the full 
effect of the covenants and restrictions in Clause 2 and considers the same to be 
reasonable in the circumstances and that irreparable harm could be caused to the 
Company and/or the Affiliate by a breach of such covenants and restrictions. The 
Employee further agrees and acknowledges that, if any such restriction is found to be 
void, this shall not affect the validity of any other restriction and if that restriction 
could be rendered valid by alteration and/or deletion of some part thereof then such 
restriction shall apply with such alteration and/or deletion as may be necessary to 
make it valid and effective.",Employment
Remuneration,"3. 
Remuneration 
[NAME OF COMPANY] 
[EMPLOYEE] 
 
 
 
 
 
5 
3.1.1 
In consideration of the Employee agreeing to act as an employee of the Company, 
subject to the provisions of Companies Act, 20133 and the rules made thereunder and 
subject to the provisions of the Memorandum of Association, Articles of Association of 
the Company the Company shall pay to the Employee a consolidated remuneration on 
cost to company basis of Rs. [.] (Rupees [.]) per month with effect from [.] and which 
shall be revised by the Board or any committee created and empowered by the Board 
for the same, from time to time at its discretion.  
3.1.2 
All forms of compensation or benefits paid to the Employee hereunder shall be subject 
to all applicable taxes and the Company may withhold any amounts payable under this 
Agreement and such taxes as shall be required to be withheld pursuant to any 
applicable law or regulation.",Employment
Leave & Holidays,"4. 
Leave & Holidays 
Employee shall be entitled to minimum of 30 paid days of annual leave in addition to 
other holidays, casual leave, etc in accordance with the terms of the human resource 
policy of the Company.",Employment
Intellectual Property,"5. 
Intellectual Property  
If at any time in the course of Employee’s employment under this Agreement makes or 
discovers or participates in the making or discovery of any Intellectual Property, the 
same shall be treated as services for hire. The Employee shall disclose the full details of 
the Intellectual Property in writing to the Company and the Intellectual Property shall be 
the property of the Company who shall own all rights in such Intellectual Property. At 
the request of the Company, Employee shall give and supply all such information, data 
and assistance as may be necessary or in the opinion of the Company desirable to 
enable the Company to exploit the Intellectual Property. Company and Employee shall 
execute all documents including power of attorney and do all things which may, in the 
opinion of Company, be necessary or desirable for obtaining protection for the 
Intellectual Property.",Intellectual Property
Representations and Warranties,"7. 
Representations and Warranties 
7.1 
The Employee represents and warrants to the Company that he is not bound by any 
restrictive covenants, including but not limited to non-competition, non-disclosure and 
non-solicitation covenants, which will have a restriction on his services under this 
Agreement, other than those contained in this Agreement. The Employee agrees to 
indemnify and hold harmless the Company for any liability the Company may incur as 
a result of the existence of any other such covenants, obligations or commitments.",Indemnity
