contract_name,clause_number,title,text,cluster
EMPLOYMENT-AGREEMENT.pdf,3,PLACE OF WORK,"3. 
PLACE OF WORK 
3.1  The Employee will be stationed in the Employer’s offices currently located in _________, but the 
Company shall be entitled to transfer the Employee’s services to any of the branches, sister 
concerns, which are presently operating or that which may be set up in future, in India or outside 
India. 
3.2 The Employee may be required to work at premises other than the Company’s premises from 
time to time. 
 
 
 
 
_____________ 
               ___________ 
       ( DIRECTOR) 
                 (Post) 
(Name of the Company) 
         EMPLOYEE",3
EMPLOYMENT-AGREEMENT.pdf,4,DUTIES AND POWERS,"4. 
DUTIES AND POWERS 
 
4.1 The Employee shall devote his / her efforts and his / her full business time and attention to the 
performance of such duties and responsibilities as may be assigned to him/her from time to time by the 
Director of the Company and in this regard follow all instructions issued or given by the Director of the 
Company or by a Manager immediately Senior to the Employee or by the Board of Directors of the 
Company. 
4.2  The Employee shall maintain proper dignity of the company’s office and deal the matter with 
sobriety. 
4.3 In performing  his /her duties as_____________of the Company the Employee shall adhere to 
all applicable laws and regulations as well as follow the Company’s policies and instructions. 
4.4  The Employee shall devote his/her best efforts and all of his/her business time to the 
performance of his/her duties under this Employment Agreement and shall perform them 
faithfully, diligently and competently, in a manner consistent with the policies of the Company as 
determined from time to time by the Director of the Company and shall directly report to the 
immediate Head or Senior in hierarchy. The Employee whilst working with the Company shall 
not, except with the prior written consent of the Board of Directors engage in activities outside the 
scope of his/her employment and shall fulfill his/her responsibilities or duties under this 
Employment Agreement. 
4.5 That during the Employment period, the employee without consent of the company in writing 
shall not sign on any documents or commit on behalf of the company without mutual consent. If 
the employee violates the same, then consequently in case if any liability arises then the 
company shall not be responsible for it in any circumstances. 
4.6  As ______________of the Company the Employee shall be responsible for the day-to-day 
management to immediate Head or Senior in hierarchy. 
4.7 That the employee services will be governed by the rules and regulations of the company as in 
force from time to time and also as per certified model. The Employer can modify the Agreement 
or Rules and Regulations from time to time and the modification will be applicable from the same 
day. 
4.8 It is hereby agreed by and between the Company and the Employee hereto that in case any 
claim, dispute or difference arises between the Parties with regard to the terms and conditions of 
this Employment Agreement or relating to the interpretation hereof whether during the 
subsistence of this Employment Agreement or thereafter, the same shall be referred to the sole 
arbitration of a single arbitrator, Mr. __________, in accordance with the provisions of the 
Arbitration and Conciliation Act, 1996 or any statutory modification or re-enactment thereof for 
the time being in force. The arbitration shall be held in Jaipur and the proceedings shall be 
conducted in the Hindi language. The Parties hereby agree that the arbitral award shall be final, 
binding and conclusive on the Parties to this Employment Agreement.",3
EMPLOYMENT-AGREEMENT.pdf,5,ANNUAL BASE SALARY,"5. 
ANNUAL BASE SALARY 
 
5.1  The Employee, who is entitled to a salary, will be CTC (as given in salary structure) in 
accordance with the Company’s customary payroll practices. 
5.2 The Employee shall not entitle to get salary, if he/she fails to meet the objectives or targets laid 
down by the company.",8
EMPLOYMENT-AGREEMENT.pdf,6,CONFIDENTIALITY,"6. 
CONFIDENTIALITY 
 
6.1  The Employee shall not, directly or indirectly, either during the term of the Employee’s 
employment under this Employment Agreement or thereafter, disclose to anyone (except in the 
regular course of the Company’s business or as required by law), or use in any manner, any 
information acquired by the Employee during his/her employment by the Company with respect 
to any trade secrets, clients, customers or other confidential information of the Company, its 
subsidiaries and associate companies world wide, their operations or affairs unless such 
information has become public knowledge other than by reason of actions (direct or indirect) of 
the Employee. 
6.2 As long as the Employee is employed, and also thereafter, he/she shall maintain confidential the 
corporate secrets and all other information of a confidential nature pertaining to the Company 
and its operations. The Employee may use such information only during his/her employment by 
the Company and in the interest of the Company. The Employee shall at all times carefully and 
diligently safeguard and promote the Company’s interests. 
6.3 During the course of employment, any such creation, innovation or any such intellectual property 
in the form of software, hardware etc shall be exclusive property of the company as well the 
source code of the company shall remain exclusive property of the company. That the employee 
shall not use the source code of the company directly or indirectly. If the company finds that the 
employee is contravening this term directly or indirectly then the company shall be entitled to 
claim damages under section 73, 74 of the contract act and also entitled to initiate legal 
proceeding against the employee. 
6.4 That during and after the employment period, the employee will not divulge or appropriate to 
his/her own use or to the use of others, in competition with the company, any secret or 
confidential information or knowledge pertaining to the business of the company, or of any of its 
subsidiaries, obtained by the Employee while employed by the company or any of its 
subsidiaries. 
6.5  That the Employee will maintain proper dignity as well as decorum of company’s office. The 
Employee will maintain and keep in his/her safe custody such identity card, documents, files, 
books, mobile, laptop, papers etc issued to the Employee and shall return the same whenever 
required. 
6.6  The agreement shall revive and apply again from time to time post completion of Two-Year 
period. 
6.7 When the Employee’s employment with the Company is terminated, he/she shall return to the 
Company all business documentation, software, notes etc. and copies thereof pertaining to the 
Company and its operations that have been entrusted to him/her or to which he/she has access.",5
EMPLOYMENT-AGREEMENT.pdf,7,NON-COMPETE CLAUSE,"7. 
NON-COMPETE CLAUSE 
 
7.1 That the employee after the period of employment is over, shall not open similar nature company 
upto three years directly or indirectly. If the company finds that the employee is contravening this 
term directly or indirectly, then the company shall be entitled to claim damages under section 73, 
74 of the contract act as well as entitled to initiate appropriate legal proceeding against the 
employee. 
7.2  That the client or the customer shall be sole client of the company. During the employment 
period as well as after the employment period is over, if the company finds out that the employee 
is trying to connect with the client of the company directly or indirectly, then the company shall be 
entitled to claim damages under section 73, 74 of the contract act as well as entitled to initiate 
appropriate legal proceeding against the employee. 
7.3 During the course of employment, employee shall not do any personal work or for any third party 
otherwise it will become a ground for termination and compensation clause will apply.",4
EMPLOYMENT-AGREEMENT.pdf,8,"TERM OF CONTRACT, TERMINATION OF EMPLOYMENT AND SEVERANCE PAY","8. 
TERM OF CONTRACT, TERMINATION OF EMPLOYMENT AND SEVERANCE PAY 
 
8.1 This Employment Agreement shall continue until terminated by either Party as provided herein 
and supersedes any and all prior oral or written agreements pertaining to the duration, 
compensation and conditions of employment of the Employee. 
8.2 The Employee may lawfully terminate this Employment Agreement by giving to the Employer not 
less than notice in writing and the employee shall not be entitled to get the salary of the notice 
period and on break of bond of two years the employee is liable to pay penalty equal to Rs. 2 
lakhs. Employer can terminate the employee any time with immediate effect without giving any 
Notice Period.  
8.3  In case if the employee leaves the company or terminates his/her employment before 
completion of two years, then he/she is liable to pay penalty equal to Rs. 2 lakhs. Since the 
Employer’s company is a software developing company as well as a reputed Training Academy 
that enjoys tremendous goodwill in the market. Since, a lot of time, energy and effort is devoted 
and invested in grooming young aspiring Employees which is essential in bringing out the best of 
talent in them and nurturing them to make them able, competent and successful professionals. 
8.4 No severance pay, as mentioned above, will be made to the Employee in case the Company has 
terminated the Employee’s employment due to his/her breach of Agreement or if he/she do not 
meet the performance criteria prescribed by the Company. 
8.5  All memoranda, notes, records, or other documents made or composed by the Employee, or 
made available to him/her during the term of this Employment Agreement concerning or in any 
way relating to the business or affairs of the Company, its subsidiaries, divisions, affiliates, or 
clients shall be the Company’s property and shall be delivered to the Company on the 
termination of this Employment Agreement or at any other time at the request of the Company. 
8.6 That if the employee commits any offence punishable under the Indian Law even outside the 
company or with the customer outside the course of employment, the company shall not be 
responsible for it in any circumstances. 
8.7 That during the course of employment, if the employee commits any fraud with the company and 
as a result of which the company suffers huge loss, in case of such an event, the Employer shall 
be entitled to recover the same from the employee’s movable and immovable property by 
instituting legal / court proceedings. 
8.8  If any training is provided to the employee, the company has full rights to recover the expenses 
incurred to train that employee if he/she resigns before completion of 6 months of the training 
tenure.  
8.9 Notwithstanding the above, Employment Agreement can be terminated on the following grounds: 
 
8.9.1 Employee being found guilty of any dishonesty, misconduct, willful neglect of duty 
or other conduct amounting to gross misconduct with fellow colleagues or seniors; 
8.9.2 Employee committing a material breach of the terms and conditions of this 
Employment Agreement; 
8.9.3 Employee being found to be medically unfit or, 
8.9.4 Employee being declared a bankrupt or insolvent or, 
8.9.5 Employee being convicted of any offence involving moral turpitude or defined 
under the Indian Law, 
8.9.6 Misappropriation of the Company’s monies or property by the Employee or; 
8.9.7 Misconduct or insubordination on the part of the Employee, 
 
8.9.8 Infringement of any Company rules and regulations by the Employee. 
The Employee shall be liable to be dismissed or discharged forthwith notwithstanding the rights 
and without giving any notice, which the Company may otherwise have against the Employee in 
case of any loss (grave or remote) caused by the employee during the course of his/her 
employment and the losses will be borne by him/her by way of damages which shall be 
calculated by the management of the company.",8
EMPLOYMENT-AGREEMENT.pdf,9,OTHER TERMS OF EMPLOYMENT,"9. 
OTHER TERMS OF EMPLOYMENT 
 
Company has prepared Guidelines for Employees in which Rules and Regulation for an 
employee are defined. These Guidelines will be defining the policies of the company. These 
guidelines will be available to the employees on mail. Guidelines are subject to change as and 
when required. And it will be part & parcel of this Agreement and it will be binding on the 
employees.",8
EMPLOYMENT-AGREEMENT.pdf,10,MISCELLANEOUS,"10. 
MISCELLANEOUS 
10.1 This Employment Agreement contains a complete statement of all the arrangements between 
the Company and the Employee with respect to its subject matter and supersedes all previous 
agreements, written or oral relating to the subject matter of this Employment Agreement, and 
cannot be modified, amended, or terminated orally. 
10.2 That this employment agreement may be amended or cancelled by mutual agreement of the 
parties and without consent of any other person and, so long as the employee lives, no person, 
other than the parties hereto, shall have any rights under or interest in this Agreement.",8
EMPLOYMENT-AGREEMENT.pdf,11,JURISDICTION,"11. 
JURISDICTION 
11.1 This Employment Agreement shall be governed by and construed in accordance with the laws 
of Jaipur (India). 
11.2 In cases if any dispute arises that is of administrative trivial nature, then the same shall be 
referred to the board, thus the decision of the board will be final and binding on the parties. 
 
IN WITNESS WHEREOF the Parties hereto have hereunto set and subscribed their respective hands 
the day and year first hereinabove written. 
 
 
In the Presence of :",7
exhibit101.pdf,1,Duties and Scope of Employment.,"1. 
Duties and Scope of Employment. 
(a) 
Position.  For the term of this Agreement, the Company agrees to employ 
the Executive in the position of Executive Vice President and Chief Financial Officer (the 
“Employment”).  The duties and responsibilities of Executive shall include the duties and 
responsibilities for the Executive’s corporate office and position as set forth in the 
Company’s bylaws and such other duties and responsibilities as the Company’s Chief 
Executive Officer and/or Board of Directors may from time to time reasonably assign to 
the Executive. 
(b) 
Obligations to the Company.  During his Employment, the Executive 
shall devote his full business efforts and time to the Company.  During his Employment, 
without prior written approval from the Company’s Chief Executive Officer, the 
Executive shall not render services in any capacity to any other person or entity and shall 
not act as a sole proprietor or partner of any other person or entity or as a shareholder or 
other owner owning more than ten percent of the stock or other interests of any other 
corporation or entity.  This obligation, however, shall not preclude Executive from 
engaging in appropriate civic, charitable or religious activities or from devoting a 
reasonable amount of time to private investments or from serving on the boards of 
directors of companies, including closely held companies which are controlled by 
Executive as long as these activities or services do not materially interfere or conflict 
with Executive’s responsibilities to, or ability to perform his duties of employment by, 
the Company under this Agreement.  The Executive shall comply with the Company’s 
policies and rules as they may be in effect from time to time during his Employment. 
(c) 
No Conflicting Obligations.  The Executive represents and warrants to 
the Company that he is under no obligations or commitments, whether contractual or 
otherwise, that are inconsistent with his obligations under this Agreement.  The Executive 
represents and warrants that he will not use or disclose, in connection with his 
employment by the Company, any trade secrets or other proprietary information or 
intellectual property in which the Executive or any other person has any right, title or 
interest and that his employment by the Company as contemplated by this Agreement 
will not infringe or violate the rights of any other person.  The Executive represents and 
warrants to the Company that he has returned all property and confidential information 
belonging to any prior employer.",3
exhibit101.pdf,2,Cash and Incentive Compensation.,"2. 
Cash and Incentive Compensation. 
(a) 
Salary.  The Company shall pay the Executive as compensation for his 
services during the first twelve (12) months of his Employment a base salary at a gross 
annual rate of $175,000.  Such salary shall be payable in accordance with the Company’s 
standard payroll procedures.  Only in the event that the parties extend the term of this 
Agreement pursuant to Section 4(a), then Company shall pay the Executive as 
compensation for his service during the second twelve (12) months of his Employment a 
base salary at a gross annual rate of $195,000 and, if applicable, for his service during the 
third twelve (12) months of his Employment a base salary at a gross annual rate of 
$215,000.  (The annual compensation specified in this Subsection (a), together with any 
increases in such compensation as a result of an extension of the term of this Agreement 
pursuant to Section 4(a), is referred to in this Agreement as “Base Compensation.”) 
(b) 
Bonus.  Executive shall receive a one time payment of $40,000 as a sign 
on bonus and shall be included in the Company Executive Compensation program, 
whereby senior management are eligible to receive annual bonuses of up to 50% of their 
base compensation. 
(c) 
Options. Executive shall be eligible to be considered for stock option 
grants under the Company’s annual stock option award program as administered by, and 
at the discretion of, the Compensation Committee of the Board of Directors.  An initial 
option shall be granted to the Executive for the right to purchase an aggregate of 80,000 
shares of the Company’s common stock at an exercise price based upon the date of 
approval by the Compensation Committee of the Board of Directors.  Such option shall 
vest quarterly over the initial term of this Agreement. 
(d) 
Insurance Coverage Reimbursement. Company agrees to pay Executive 
at current rate of $394 per month to cover and to be in lieu of medical benefits, as 
selected by Executive in his sole discretion. Executive understands and agrees that 
Company is not required to permit Executive to participate in any Company-sponsored 
benefit plans, including but not limited to the Company’s medical plan, in the same or 
any manner as Company and any third-party benefit provider make such opportunities 
available to Company’s regular full-time employees; provided, however, if Company 
does provide such Company-sponsored benefit plans and Executive is eligible to 
participate in such Company-sponsored benefit plans, Executive shall not be entitled to 
receive such $394 monthly payment.  
(e) 
Vacation. During the term of this Agreement, Executive shall be entitled 
to vacation each year in accordance with the Company’s policies in effect from time to 
time, but in no event less than four (4) weeks paid vacation per calendar year.",8
exhibit101.pdf,3,"Business Expenses.  During his Employment, the Executive shall be","3. 
Business Expenses.  During his Employment, the Executive shall be 
authorized to incur necessary and reasonable travel, entertainment and other business 
expenses in connection with his duties hereunder.  The Company shall reimburse the 
Executive for such expenses upon presentation of an itemized account and appropriate 
supporting documentation, all in accordance with the Company’s generally applicable 
2 
policies.  The Executive shall have a car allowance of $1,000.00 per month during the 
term of this Agreement.",6
exhibit101.pdf,4,Term of Employment.,"4. 
Term of Employment. 
(a) 
Term.  This Agreement shall expire on the first anniversary of the 
Effective Date, unless otherwise extended by the mutual agreement of Executive and the 
Company; provided, that this Agreement shall automatically be renewed for additional 
one (1) year terms and shall automatically be continued effective as of the subsequent 
anniversary date of the Agreement (a “Renewal Date”) unless the Company or Executive 
has delivered written notice of non-renewal to the other party at least sixty (60) days prior 
to the relevant Renewal Date. 
(b) 
Basic Rule.  The Executive’s Employment with the Company shall be “at 
will,” meaning that either the Executive or the Company shall be entitled to terminate the 
Executive’s Employment at any time and for any reason, with or without Cause (in the 
case of the Company) or Constructive Termination (in the case of Executive).  Any 
contrary representations that may have been made to the Executive shall be superseded 
by this Agreement.  This Agreement shall constitute the full and complete agreement 
between the Executive and the Company on the “at will” nature of the Executive’s 
Employment, which may be changed only in an express written agreement signed by the 
Executive and a duly authorized officer of the Company. 
(c) 
Termination.  The Company or the Executive may terminate the 
Executive’s Employment at any time and for any reason (or no reason), and with or 
without Cause (in the case of the Company) or Constructive Termination (in the case of 
Executive), by giving the other party notice in writing.  The Executive’s Employment 
shall terminate automatically in the event of his death. 
(d) 
Rights Upon Termination.  Except as expressly provided in Section 5, 
upon the termination of the Executive’s Employment pursuant to this Section 4, the 
Executive shall be entitled only to the compensation, benefits and reimbursements 
described in Sections 2 and 3 for the period preceding the effective date of the 
termination.",8
exhibit101.pdf,5,Termination Benefits.,"5. 
Termination Benefits. 
(a) 
General 
Release. 
 
Any 
other 
provision 
of 
this 
Agreement 
notwithstanding, Subsections (b), (c), and (d) below shall not apply unless the Employee 
(i) has executed a general release (in a form reasonably prescribed by the Company) of 
all known and unknown claims that he may then have against the Company or persons 
affiliated with the Company, and (ii) has agreed not to prosecute any legal action or other 
proceeding based upon any of such claims. 
(b) 
Severance Pay.  If, during the term of this Agreement, the Company 
terminates the Executive’s Employment for any reason other than Cause or Disability, or 
if the Executive voluntarily resigns following a Constructive Termination, (collectively, a 
“Termination Event”), then the Company shall pay the Executive his Base Compensation 
3 
for the remaining period of the then-current term of this Agreement, but not in excess of 
six (6) months.  Such Base Compensation shall be paid as a lump sum within thirty (30) 
days after the Termination Event.  In addition, the Company shall also reimburse the 
Executive for the payment of the Executive’s COBRA or equivalent other replacement 
medical and dental insurance premiums for a period of six (6) months.  
(c) 
Stock Options.  With respect to all stock options in the Company granted 
to Executive prior to the effective date of the Termination Event, an amount of option 
shares equal to the number of months for which Executive is entitled to receive severance 
pay will become immediately vested, not subject to repurchase and not subject to 
assumption, assignment or replacement by the Company or its successors. 
(d) 
Disability. If the Executive’s employment is terminated by the Company 
by reason of the Executive’s Disability, the Executive shall be entitled to a prompt cash 
payment of a prorated portion of the payments set forth in Section 2(a) above for the year 
in which such termination occurs. Executive and his eligible dependents shall be entitled 
to continued participation so long as he is disabled and is not eligible for coverage under 
a successor employer’s plans through the month in which the Executive attains age sixty-
five (65) in all medical, dental, vision and hospitalization insurance coverage, and in all 
other employee welfare benefit plans, programs and arrangements in which he was 
participating on the date of termination of his employment for Disability on terms and 
conditions that are no less favorable than those applicable, from time to time, to senior 
executives of the Company.  For purposes of this Agreement, “Disability” means the 
Executive’s inability, due to physical or mental incapacity, to substantially perform his 
duties and responsibilities contemplated by this Agreement. In the event of a dispute as to 
whether the Executive is disabled, the determination shall be made by a licensed medical 
doctor selected by the Company and agreed to by the Executive. If the parties cannot 
agree on a medical doctor, each party shall select a medical doctor and the two doctors 
shall select a third who shall be the approved medical doctor for this purpose. The 
Executive agrees to submit to such tests and examinations as such medical doctor shall 
deem appropriate. 
(e) 
Definition of “Cause.”  For all purposes under this Agreement, “Cause” 
shall mean: 
(i) 
Any breach of the Invention, Confidential Information and Non-
Competition Agreement referenced in Section 6 hereof between the Executive 
and the Company, as determined by the Board of Directors of the Company;  
(ii) 
Conviction of, or a plea of “guilty” or “no contest” to, a felony, or 
a plea of “guilty” or “no contest” to a lesser included offense in exchange for 
withdrawal of a felony indictment or felony charge by indictment, in each case 
whether arising under the laws of the United States or any state thereof;  
(iii) 
Any act or acts of fraud; 
(iv) 
violations of applicable laws, rules or regulations that expose the 
4 
Company to material damages or material liability 
(v) 
material breach by the employee of any material provision of the 
Employment Agreement that remains uncorrected for 30 days following written 
notice of such breach to the employee by the company.  
(f) 
Definition of “Constructive Termination.”  For all purposes under this 
Agreement, Constructive Termination shall mean the voluntary resignation of the 
Executive within 60 days following: 
(i) 
The failure of the Executive to be elected or reelected to any of 
the positions described in Section 1(a) or his removal from any such position 
without his written consent.  
(ii) 
A material diminution in the Executive’s duties or the assignment 
of him of any duties inconsistent with the Executive’s position and status as 
Executive Vice President and Chief Financial Officer of the Company. 
(iii) 
A change in the Executive’s reporting relationship such that the 
Executive no longer reports directly to the Chief Executive Officer. 
(iv) 
A reduction in the Executive’s Base Compensation without his 
consent; 
(v) 
Receipt of notice from Company that the Executive’s principal 
workplace will be relocated by more than fifty (50) miles without his written 
consent;  
(vi) 
A breach by the Company of any of its material obligations to the 
Executive under this Agreement; or 
(vii) 
The failure of the Company to obtain a satisfactory agreement 
from any successor to all or substantially all of the assets or business of the 
Company to assume and agree to perform this Agreement within 15 days after a 
merger, consolidation, sale or similar transaction.",8
exhibit101.pdf,6,"Invention,","6. 
Invention, 
Confidential 
Information 
and 
Non-Competition 
Agreement.  The Executive has entered into an Invention, Confidential 
Information and Non-Competition Agreement with the Company, in the form 
attached hereto as Exhibit A, which is incorporated herein by reference.",5
exhibit101.pdf,7,Successors.,"7. 
Successors. 
(a) 
Company’s Successors.  This Agreement shall be binding upon 
any successor (whether direct or indirect and whether by purchase, lease, merger, 
consolidation, liquidation or otherwise) to all or substantially all of the Company’s 
business and/or assets.  For all purposes under this Agreement, the term 
5 
“Company” shall include any successor to the Company’s business and/or assets 
which becomes bound by this Agreement. 
(b) 
Executive’s Successors.  This Agreement and all rights of the Executive 
hereunder shall inure to the benefit of, and be enforceable by, the Executive’s personal or 
legal representatives, executors, administrators, successors, heirs, distributees, devisees 
and legatees.",1
exhibit101.pdf,8,Miscellaneous Provisions.,"8. 
Miscellaneous Provisions. 
(a) 
Notice.  Notices and all other communications contemplated by this 
Agreement shall be in writing and shall be deemed to have been duly given when 
personally delivered or when mailed by U.S. registered or certified mail, return receipt 
requested and postage prepaid.  In the case of the Executive, mailed notices shall be 
addressed to him at the home address which he most recently communicated to the 
Company in writing.  In the case of the Company, mailed notices shall be addressed to its 
corporate headquarters, and all notices shall be directed to the attention of its Secretary. 
(b) 
Modifications and Waivers.  No provision of this Agreement shall be 
modified, waived or discharged unless the modification, waiver or discharge is agreed to 
in writing and signed by the Executive and by an authorized officer of the Company 
(other than the Executive).  No waiver by either party of any breach of, or of compliance 
with, any condition or provision of this Agreement by the other party shall be considered 
a waiver of any other condition or provision or of the same condition or provision at 
another time. 
(c) 
Indemnification.  
To 
the 
fullest 
extent 
permitted 
by 
the 
indemnification provisions of the Articles of Incorporation and Bylaws of the Company 
in effect as of the date of this Agreement, and the indemnification provision of the laws 
of the jurisdiction of the Company’s incorporation in effect from time to time, the 
Company shall indemnify the Executive as a director, senior officer or employee of the 
Company against all liabilities and reasonable expenses that may be incurred in any 
threatened, pending or completed action, suit or proceeding, and shall pay for the 
reasonable expenses incurred by the Executive in the defense of or participation in any 
proceeding to which the Executive is a party because of his service to the Company. The 
rights of the Executive under this indemnification provision shall survive the termination 
of employment. 
(d) 
Whole Agreement.  This Agreement and the Invention, Confidential 
Information and Non-Competition Agreement between the Company and Executive 
contain the entire understanding of the parties with respect to the subject matter hereof.  
No other agreements, representations or understandings (whether oral or written and 
whether express or implied) which are not expressly set forth in such agreements have 
been made or entered into by either party with respect to the subject matter hereof. 
(e) 
Withholding Taxes.  All payments made under this Agreement shall be 
subject to reduction to reflect taxes or other charges required to be withheld by law.   
6 
(f) 
Choice of Law and Severability.  This Agreement is executed by the 
parties in the State of Texas and shall be interpreted in accordance with the laws of such 
State (except their provisions governing the choice of law).  If any provision of this 
Agreement becomes or is deemed invalid, illegal or unenforceable in any jurisdiction by 
reason of the scope, extent or duration of its coverage, then such provision shall be 
deemed amended to the extent necessary to conform to applicable law so as to be valid 
and enforceable or, if such provision cannot be so amended without materially altering 
the intention of the parties, then such provision shall be stricken and the remainder of this 
Agreement shall continue in full force and effect.  Should there ever occur any conflict 
between any provision contained in this Agreement and any present or future statute, law, 
ordinance or regulation contrary to which the parties have no legal right to contract, then 
the latter shall prevail but the provision of this Agreement affected thereby shall be 
curtailed and limited only to the extent necessary to bring it into compliance with 
applicable law.  All the other terms and provisions of this Agreement shall continue in 
full force and effect without impairment or limitation. 
(g) 
Arbitration.  Any controversy or claim arising out of or relating to this 
Agreement or the breach thereof, or the Executive’s Employment or the termination 
thereof, shall be settled in Houston, Texas, by arbitration in accordance with the National 
Rules for the Resolution of Employment Disputes of the American Arbitration 
Association.  The decision of the arbitrator shall be final and binding on the parties, and 
judgment on the award rendered by the arbitrator may be entered in any court having 
jurisdiction thereof.  The parties hereby agree that the arbitrator shall be empowered to 
enter an equitable decree mandating specific enforcement of the terms of this Agreement.  
The Company and the Executive shall share equally all fees and expenses of the 
arbitrator.  The Executive hereby consents to personal jurisdiction of the state and federal 
courts located in the State of Texas for any action or proceeding arising from or relating 
to this Agreement or relating to any arbitration in which the parties are participants. 
(h) 
No Assignment.  This Agreement and all rights and obligations of the 
Executive hereunder are personal to the Executive and may not be transferred or assigned 
by the Executive at any time.  The Company may assign its rights under this Agreement 
to any entity that assumes the Company’s obligations hereunder in connection with any 
sale or transfer of all or a substantial portion of the Company’s assets to such entity. 
(i) 
Counterparts.  This Agreement may be executed in two or more 
counterparts, each of which shall be deemed an original, but all of which together shall 
constitute one and the same instrument. 
 
[SIGNATURE PAGE FOLLOWS] 
7 
IN WITNESS WHEREOF, each of the parties has executed this Agreement, in the case of the 
Company by its duly authorized officer, as of the day and year first above written. 
/s/ John O’Keefe 
  
 
 
 
 
 
 
JOHN O’KEEFE 
 
 
 
 
 
 
 
VERDISYS, INC. 
By: 
/s/ Dr. Ron Robinson 
 
Name: Dr. Ron Robinson 
 
Title: Chairman 
 
 
 
8 
EXHIBIT A 
Invention, Confidential Information and Non-Competition Agreement 
9",7
Format_for_Non-Disclosure_Areement.pdf,1,"The term ""PERSONAL INFORMATION"" and ""SENSITIVE PERSONAL DATA"" shall","1. 
The term ""PERSONAL INFORMATION"" and ""SENSITIVE PERSONAL DATA"" shall 
have the meaning as provided in The Information Technology (Reasonable Security Practices 
and Procedures and Sensitive Personal Data or Information) Rules, 2011 or as assigned in any 
other law in India and as amended from time to time.",5
Format_for_Non-Disclosure_Areement.pdf,2,"The term ""CONFIDENTIAL INFORMATION"" shall include any confidential /","2. 
The term ""CONFIDENTIAL INFORMATION"" shall include any confidential / 
proprietary / non-public information relating to the business of the respective parties, including 
but not limited to samples, formulae, manufacturing/development processes, specifications, 
drawings and schematics, however, the ""Confidential Information"" shall mean and include the 
technical and technological information and secrets relating to software, computer system, 
equipment, local area network and wide area network, network infrastructure and equipment, 
network designs/architecture, system passwords, login-ID's and commercial , marketing, 
financial and other information, data, ideas, programs, operations, processes and documents 
relating to the business or technology of (the ""BRPL"") or any of its affiliates which is disclosed 
either prior to or after the date of this Agreement by parties i) to each other ii) either of its 
affiliates or iii) a third party on or behalf of the BRPL or any of its affiliates, to the other party 
(the ""Vendor"") either in oral or written form, or through any other form of communication, and 
which was designated to be confidential and proprietary and shall include this Agreement as well 
as the intention of parties to explore the entering into of a business relationship with each other.",5
Format_for_Non-Disclosure_Areement.pdf,3,ACCEPTANCE TO BRPL INFORMATION SECURITY POLICY,"3. 
ACCEPTANCE TO BRPL INFORMATION SECURITY POLICY 
i. 
BRPL (COMPANY Rajdhani Power Limited) has legal ownership of the contents of all 
files created, processed, stored on its computers/ network systems as well as the data/ email/  
messages transmitted in its network. 
ii. 
BRPL reserves the right to access the information given to the Vendor/ Consultant for 
processing without prior notice whenever there is a genuine need. 
iii. 
BRPL may in order to ensure cyber security/ protection of its data/ resources monitor, 
access, retrieve and read the information originating/ transmitted/ terminating in its network 
irrespective of user. 
iv. 
All the users accessing the network of BRPL are encouraged not to share their personal 
information on the computer/ network of BRPL computers, resouces and removable disks. If 
Users choose to share such personal information, the information may be monitored at the risk of 
Users. 
v. 
All users/vendors/consultants must return or ensure secure destruction of BRPL 
information, storage media, documentation, and computer/networking equipment in a 
permissible manner, before they leave a particular assignment, either on transfer or on the end of 
the contract or resignation. 
vi. 
The undersigned has read the Information security policies and procedures and 
understand the policies and procedures of BRPL. The undersigned agreed to abide by the 
information security policies and procedures described therein as a condition of continued 
employment / contract. The Vendor undertakes to abide by all the rules and regulations 
applicable to Personal/ Sensitive/ Confidential Data under the Information Technology Act, 
2000, or any other law as applicable from time to time and also the direction issued by the 
Regulator, Delhi Electricity Regulatory Commission. 
 
vii. 
The BRPL has all the rights to claim damages for any loss of Personal/ Sensitive/ 
Confidential data including any liability arising to the third party due to the default/ failure of the 
Vendor to protect such data in terms of present agreement. The liability arising out of such 
default shall include the litigation cost, liability payable to third party and also any loss of 
reputation/ goodwill caused to the BRPL. 
viii. 
That the Vandor agrees that the Non-compliance of the terms of this agreement and/or 
any of the policy of BRPL associated with the privacy policy, can result in disciplinary actions, 
revocation of systems privileges and includes  termination of agreements/services, if any, claim 
of damages and such other actions as specified in other clauses of this agreement or the principle 
agreement.",5
